IDESTACION,DENOMINACION,X,Y,LINEAS,ACONDICIONAMIENTOVIAJEROS,ACONDICIONAMIENTOVEHICULOS
6_3061,AV.PABLO NERUDA-MALGRAT MAR,445669.0,4471747.0,"54, 142, 144",2,3
6_3065,SAN CLAUDIO-RAFAEL FERNANDEZ,446155.0,4471557.0,54,2,3
6_3007,CERRO DEL CASTAÑAR-MORALZARZAL,439614.0,4483041.0,134,2,3
6_3066,ANDALUCES-SAN CLAUDIO,446036.0,4471456.0,54,2,3
6_2948,CTRA.VILLAVERDE A VALLECAS-AV.ROSALES,442127.0,4468163.0,"23, 130",2,3
6_2953,CTRA.CCHEL A VILLAVERDE-CENTRO ESCOLAR,439692.0,4467487.0,131,2,3
6_2958,RAFAELA YBARRA-UNIDAD,439640.0,4469245.0,131,2,3
6_2960,AV.MORERAS-COLEGIO MAYOR ALFONSO X EL SABIO,439130.0,4478314.0,132,2,3
6_2961,ARQ.SANCHEZ ARCAS-MORERAS,439361.0,4478496.0,132,2,3
6_2964,CESAR MANRIQUE-JUAN SANCHEZ,439023.0,4480815.0,"127, 132, N21",2,3
6_2977,ARQ.SANCHEZ ARCAS-MORERAS,439333.0,4478492.0,132,2,3
6_2978,AV.MORERAS-COLEGIO MAYOR ALFONSO X EL SABIO,439107.0,4478301.0,132,2,3
6_2979,AV.MORERAS-RAMIRO DE MAEZTU,438953.0,4478072.0,132,2,3
6_2354,J.JOSE MTNEZ.SECO-DIAMANTE,441767.0,4467234.0,"85, 123",2,3
6_2355,J.JOSE MTNEZ.SECO-BENITA LOPEZ,441565.0,4467231.0,"85, 123",2,3
6_2357,VIRGEN DE LOS DESAMPARADOS-TOTANES,440759.0,4467209.0,"18, 86, 116, N14",2,3
6_2359,VIRGEN DE LOS DESAMPARADOS,440777.0,4467203.0,"18, 86, 116, N14",2,3
6_2360,ARROYO POZUELO-HINOJO,434394.0,4478425.0,160,2,3
6_2366,EMILIO RUBIN-ARTURO SORIA,444011.0,4479338.0,87,2,3
6_2367,MONTEARAGON Nº 8,444216.0,4479566.0,87,2,3
6_2371,Cº DE MONTORO-Cº VIEJO DE BURGOS,446447.0,4481437.0,"87, N2",2,3
6_2374,Cº DEL OLIVAR-GRAMA,446782.0,4481118.0,87,2,3
6_2378,GREGORIO SANCHEZ HERRAEZ,446137.0,4481189.0,"87, N2",2,3
6_2382,AV.BUCARAMANGA-GTA.CHARALA,445889.0,4480621.0,87,2,3
6_2385,GRAN VIA HORTALEZA-HARO,444870.0,4480015.0,87,2,3
6_2254,ARROYOFRESNO-AV.C.HERRERA ORIA,437273.0,4481198.0,82,2,3
6_2255,CANTALEJO-ARROYOFRESNO,437247.0,4480982.0,82,2,3
6_2265,AV.MIRAFLORES-CTRA.DEHESA VILLA,438221.0,4479001.0,"82, N20",2,3
6_2266,PARANINFO-CIEMAT,438274.0,4478666.0,"82, N20",2,3
6_821,FTE.CARRANTONA-ARROYO FONTARRON,445868.0,4472150.0,"20, 142, 144",2,3
6_823,PZA.CONDE MACEDA Y TABOADA,445523.0,4472929.0,"20, 30, N8",2,3
6_826,PZA.DEL ENCUENTRO,444884.0,4473188.0,"20, 30, N8",2,3
6_828,AV.MORATALAZ Nº 21,444060.0,4473422.0,20,2,3
6_830,Cº VINATEROS-M30,444218.0,4473769.0,"20, 30, 32, N8",2,3
6_831,ESTRELLA POLAR-PEZ AUSTRAL,443652.0,4473818.0,"20, 30, 32, N8",2,3
6_833,AV.NAZARET-JESUS APRENDIZ,443203.0,4473856.0,20,2,3
6_836,MENENDEZ PELAYO-A.SAINZ BARANDA,442567.0,4474502.0,"20, 152",2,3
6_840,JUAN PEREZ ZUÑIGA Nº 19,445095.0,4477258.0,21,2,3
6_776,ALEGRIA DE LA HUERTA-ANOETA,441079.0,4467420.0,"18, 86, 116, N14",2,3
6_711,Pº PONTONES-Pº IMPERIAL,439383.0,4473146.0,"17, 41, N16",2,3
6_713,Pº ERMITA DEL SANTO-PTE.SAN ISIDRO,438620.0,4473086.0,"17, 25, N16",2,3
6_714,VIA CARPETANA-CARAMUEL,438134.0,4472847.0,"17, N16",2,3
6_719,VIA CARPETANA-PETIRROJO,436958.0,4471490.0,17,2,3
6_1551,AV.JUAN HERRERA-MARTIN FIERRO,438039.0,4476902.0,"46, 160, 161, N20, N28",2,3
6_723,"OCAÑA,69",436145.0,4470984.0,"17, N26",2,3
6_726,RAFAEL FINAT-AV.LAS ÁGUILAS,435155.0,4470823.0,"17, 138",2,3
6_728,RAFAEL FINAT-JOSE DE CADALSO,434680.0,4470303.0,"17, 138",2,3
6_729,BLAS CABRERA-RAFAEL FINAT,434544.0,4470189.0,"17, 34, 139",2,3
6_730,BLAS CABRERA-OLIVA DE PLASENCIA,434354.0,4470379.0,"17, 139",2,3
6_733,BLAS CABRERA-RAFAEL FINAT,434510.0,4470198.0,"17, 34, 39, 138, 139, N19",2,3
6_734,RAFAEL FINAT-JOSE DE CADALSO,434723.0,4470333.0,"17, 138",2,3
6_3402,GONZALEZ FEITO-CAL,441317.0,4470394.0,"23, 123",2,3
6_3409,VENTISQUERO CONDESA-C.MINGUETE,439401.0,4482323.0,64,2,3
6_3410,SANTIAGO COMPOSTELA-NARCIS MONTURIOL,440874.0,4481987.0,67,2,3
6_3414,ALEJANDRO CASONA-DR.REINOSA,438158.0,4481591.0,82,2,3
6_3734,PTO.PORZUNA-FUENTIDUEÑA,447248.0,4469715.0,"103, 142",2,3
6_3735,PTO.PORZUNA-CONGOSTO,447415.0,4469882.0,"103, 142",2,3
6_3737,ALCALA-AV.25 DE SEPTIEMBRE,447282.0,4477220.0,105,2,3
6_3740,DR.ESQUERDO-PZA.CONDE CASAL,443228.0,4473238.0,"56, 156",2,3
6_3741,DR.ESQUERDO-SAINZ DE BARANDA,443305.0,4474394.0,"30, 56, 143, 156, N8",2,3
6_3743,CEMENTERIO DE FUENCARRAL,440739.0,4484444.0,SE704,2,3
6_3747,LOPEZ DE HOYOS-PADRE CLARET,443691.0,4478121.0,"9, 72, 73, N2",2,3
6_3748,Pº ERMITA DEL SANTO-PARQUE SAN ISIDRO,437911.0,4472541.0,25,2,3
6_3753,Pº ERMITA DEL SANTO-PARQUE SAN ISIDRO,437942.0,4472555.0,25,2,3
6_3756,VALLE ENMEDIO-GTA.P.CORRALILLOS,439226.0,4482409.0,49,2,3
6_3760,VENTISQUERO CONDESA-VALLE DE ENMEDIO,439391.0,4482447.0,49,2,3
6_3763,GOLONDRINA-VELETA,433676.0,4478846.0,"160, 161",2,3
6_3766,CTRA.HUMERA A ARAVACA-RIAZA,433968.0,4478953.0,"160, 161, N28",2,3
6_3779,GUECHO-PARADORES,430022.0,4481133.0,162,2,3
6_3785,AV.ROSALES-CORINDON,441524.0,4468909.0,"23, N12",2,3
6_3788,AYACUCHO-NEVADO RUIZ,446308.0,4480278.0,"104, 171, T11",2,3
6_3789,DR.GARCIA TAPIA-LAPONIA,446847.0,4473293.0,"30, 100, N8",2,3
6_3791,LAPONIA-MUNICH,446848.0,4473179.0,30,2,3
6_3795,MERCAMADRID-MERCADO PESCADO,443574.0,4467911.0,T32,2,3
6_3796,MERCAMADRID-NAVES AUXILIARES,444373.0,4468494.0,"130, T32",2,3
6_3797,CENTRO DE TRANSPORTES DE MADRID,444562.0,4468746.0,"130, T32",2,3
6_5482,AV.Cº SANTIAGO-GTA.MONTE DEL GOZO,443536.0,4484860.0,"170, 172, 172SF, T61",2,3
6_1974,PEDRO RICO-ARZOBISPO MORCILLO,440912.0,4481920.0,67,2,3
6_1846,CARRERA SAN FRANCISCO-SAN I.LABRADOR,439629.0,4473809.0,60,2,3
6_1849,DIEGO DE LEON-SERRANO,441947.0,4476487.0,61,2,3
6_1850,GRAL.ORAA-Pº CASTELLANA,441779.0,4476568.0,61,2,3
6_1851,HERMANOS BECQUER-SERRANO,441859.0,4476507.0,61,2,3
6_1855,AV.PABLO NERUDA-AV.PALOMERAS,445195.0,4470944.0,57,2,3
6_1861,PARANINFO-MATEMATICAS,438426.0,4478208.0,"82, F, G, N20, U",2,3
6_1862,PARANINFO-TELECOMUNICACIONES,438397.0,4478417.0,"82, F, G, N20, U",2,3
6_1863,PARANINFO-DERECHO,438245.0,4478288.0,"82, F, G, N20, U",2,3
6_1870,ISAAC PERAL-PZA.CRISTO REY,439230.0,4476902.0,"1, 44, 82, 132, C2",2,3
6_1871,AV.MEDITERRANEO-PZA.CONDE CASAL,443361.0,4473294.0,"63, 143, 145, E, N9",2,3
6_1872,EL BOSCO-MARUJA GARCIA ROMERO,444623.0,4472996.0,"63, 143",2,3
6_1873,EL BOSCO-RAMON PEREZ AYALA,444830.0,4472749.0,"63, 143, N9",2,3
6_1874,EL BOSCO-RAMON PEREZ AYALA,444955.0,4472599.0,"63, 143, N9",2,3
6_1876,AV.MEDITERRANEO-AV.PABLO NERUDA,445700.0,4471971.0,"63, 145, E, N9",2,3
6_1877,AV.MEDITERRANEO-AV.DEMOCRACIA,447117.0,4471554.0,"63, 145, E, N9",2,3
6_1879,CASTRILLO AZA-AV.STA.EUGENIA,448239.0,4470709.0,"63, N9",2,3
6_1881,AV.STA.EUGENIA-VIRGEN DE LAS VIÑAS,448371.0,4470380.0,"63, 145, N9",2,3
6_1884,AV.STA.EUGENIA-VIRGEN DE LAS VIÑAS,448838.0,4470566.0,"63, 145, N9",2,3
6_1499,ISAAC PERAL-FERNANDEZ DE LOS RIOS,439200.0,4476581.0,"1, 44, 62, 82, 132, 138, C1, N21",2,3
6_1501,GRAL.IBAÑEZ IBERO-AV.REINA VICTORIA,439873.0,4477770.0,"44, N21",2,3
6_1502,DR.FEDERICO RUBIO-ALMANSA,439995.0,4478056.0,"44, 127, N21",2,3
6_1503,DR.FEDERICO RUBIO-ABEL,439946.0,4478242.0,"44, 127",2,3
6_1506,DR.FEDERICO RUBIO-FCO.DE DIEGO,439543.0,4478784.0,44,2,3
6_1508,OFELIA NIETO-FRANCOS RODRIGUEZ,439830.0,4479049.0,"44, 128, SE727",2,3
6_1510,OFELIA NIETO-Pº DIRECCION,440129.0,4479602.0,44,2,3
6_1512,OFELIA NIETO-Pº DIRECCION,440118.0,4479611.0,44,2,3
6_1514,OFELIA NIETO-FRANCOS RODRIGUEZ,439802.0,4479051.0,"44, 128, SE727",2,3
6_1516,DR.FEDERICO RUBIO-FCO.DIEGO,439532.0,4478792.0,44,2,3
6_1517,DR.FEDERICO RUBIO Y GALI-AV.PABLO IGLESIAS,439579.0,4478530.0,44,2,3
6_1518,DR.FEDERICO RUBIO-JERONIMA LLORENTE,439928.0,4478397.0,"44, 127, N21",2,3
6_1519,DR.FEDERICO RUBIO-ABEL,439938.0,4478216.0,"44, 127",2,3
6_1522,SAN FCO.DE SALES-GUZMAN EL BUENO,439623.0,4477308.0,"44, N21",2,3
6_1527,LAGO CALAFATE,444969.0,4470785.0,310,2,3
6_1530,AV.REINA VICTORIA-GRAL.I.IBERO,439827.0,4477777.0,"45, C1, F",2,3
6_5430,"CALLE DE MIRABEL, 3",433789.0,4470000.0,N19,2,3
6_3534,MARQUESADO STA.MARTA-FERNANDO MIJARES,447315.0,4477842.0,"114, N4",2,3
6_3539,STA.ENGRACIA-CARACAS,441012.0,4475985.0,3,2,3
6_3543,AV.NIZA-LAS MUSAS,448562.0,4476153.0,"38, E2",2,3
6_3545,DR.GARCIA TAPIA-FTE.CARRANTONA,446485.0,4473434.0,30,2,3
6_3558,AV.BETANZOS-CHANTADA,439782.0,4480761.0,42,2,3
6_3560,INDALECIO PRIETO-LOS PINILLAS,447380.0,4472529.0,"8, 71, 130",2,3
6_3561,INDALECIO PRIETO-JUGLARES,447448.0,4472749.0,"8, 71, 130",2,3
6_3565,PZA.CORR.ALONSO AGUILAR,444175.0,4473367.0,20,2,3
6_3566,JUAN ESPLANDIU Nº 9,443907.0,4474597.0,215,2,3
6_3568,JUAN ESPLANDIU Nº 4,443890.0,4474407.0,215,2,3
6_3501,Pº ALBERTO PALACIOS-Pº FERROVIARIOS,439255.0,4466328.0,"22, N14",2,3
6_3573,GASCUEÑA Nº35,451808.0,4477843.0,"77, 167",2,3
6_3575,DR.GARCIA TAPIA-M40,447024.0,4473242.0,"100, N8",2,3
6_3429,JOAQUIN LORENZO-ISLA MALAITA,438848.0,4480692.0,42,2,3
6_3431,ISLA MALAITA-JOAQUIN LORENZO,438891.0,4480709.0,137,2,3
6_3432,ISLA MALAITA-CESAR MANRIQUE,438935.0,4480830.0,137,2,3
6_3439,SAN GERMAN-ORENSE,441180.0,4478864.0,126,2,3
6_1434,BRAVO MURILLO-LOPE DE HARO,440601.0,4478895.0,"66, 124, 126",2,3
6_1435,BRAVO MURILLO-FRANCISCO MEDRANO,440759.0,4479135.0,"66, 124, N23",2,3
6_1441,SINESIO DELGADO-HOSPITAL CARLOS III,441462.0,4480887.0,147,2,3
6_1442,SINESIO DELGADO-FINISTERRE,440819.0,4480942.0,147,2,3
6_1445,MELCHOR FDEZ.ALMAGRO-AV.FERROL,440178.0,4481064.0,147,2,3
6_1446,MELCHOR FDEZ.ALMAGRO-AV.BETANZOS,439898.0,4480990.0,147,2,3
6_1448,CTRA.VILLAVERDE A VALLECAS-UNANIMIDAD,441966.0,4467907.0,"23, 130",2,3
6_1449,MONFORTE DE LEMOS Nº 163,439533.0,4481159.0,"126, 132, 137, 147",2,3
6_1450,AV.BETANZOS-LA BAÑEZA,439781.0,4481077.0,"42, 49, 126, 128, 147",2,3
6_3664,EMBAJADORES-CAJA MÁGICA,442353.0,4469296.0,"180, T32",2,3
6_3141,AV. PLANETARIO-MENESES,442163.0,4471876.0,"148, 156, N13",2,3
6_3009,LA MASO-SALOU,439569.0,4482234.0,134,2,3
6_3663,EMBAJADORES-CAJA MÁGICA,442359.0,4469343.0,T32,2,3
6_3014,MONFORTE DE LEMOS-PARQUE BOMBEROS,440734.0,4481463.0,"134, 137",2,3
6_3018,SAN MODESTO-HOSPITAL RAMON Y CAJAL,441365.0,4482138.0,135,2,3
6_3019,HOSPITAL RAMON Y CAJAL,441319.0,4482336.0,"125, 135, 165, 166",2,3
6_3020,ANTONIO ROBLES-HOSPITAL RAMON Y CAJAL,441351.0,4482169.0,"125, 135, 165, 166",2,3
6_247,Pº CHOPERA-PZA.GRAL.MAROTO,440846.0,4471853.0,"6, 18, 78, 148, N12, N14",2,3
6_3025,CARAMUEL-ANTILLON,438410.0,4473791.0,"138, N18",2,3
6_3026,CARAMUEL-DOÑA MENCIA,438297.0,4473665.0,138,2,3
6_3028,SEPULVEDA-GOTARRENDURA,437577.0,4473063.0,138,2,3
6_5840,GUILLERMO DE OSMA-PZA.GRAL.MAROTO,440916.0,4471916.0,62,1,1
6_5832,GUILLERMO DE OSMA-PZA.GRAL.MAROTO,440903.0,4471888.0,62,1,3
6_3035,SEPULVEDA-CONC.FCO.J.JIMENEZ M.,436059.0,4472696.0,"138, N18",2,3
6_3042,RAFAEL FINAT-OSA DE LA VEGA,434494.0,4469887.0,139,2,3
6_3043,BLAS CABRERA-AV. LAS AGUILAS,434291.0,4470626.0,"17, 139",2,3
6_3047,Cº DE LAS CRUCES-MASCARAQUE,435936.0,4469776.0,139,2,3
6_3048,Cº DE LAS CRUCES-JOSE JORDAN,435778.0,4469562.0,139,2,3
6_3049,BALTASAR SANTOS,444147.0,4472861.0,141,2,3
6_3329,VALDEBERNARDO-HACIENDA PAVONES,446462.0,4472515.0,"8, 20",2,3
6_3331,FUENTELVIEJO-FUENCEMILLÁN,451781.0,4477889.0,"77, 167",2,3
6_3338,NANCLARES DE OCA-ARCAUTE,450902.0,4477405.0,"77, 167",2,3
6_3341,AV.SEGUNDA-CALLE DIEZ,449712.0,4477604.0,"77, N5",2,3
6_2982,NURIA-PEÑA SIRIO,440339.0,4482804.0,"133, N23",2,3
6_2984,CERRO DEL CASTAÑAR-LA MASO,439661.0,4482804.0,"133, 134",2,3
6_2990,MONFORTE DE LEMOS-PARQUE BOMBEROS,440727.0,4481488.0,"134, 137",2,3
6_2994,LA MASO-AV.CARDENAL HERRERA ORIA,439584.0,4481908.0,134,2,3
6_2995,LA MASO-SALOU,439589.0,4482231.0,134,2,3
6_2996,LA MASO-HOSPITAL RUBER INTERNACIONAL,439605.0,4482506.0,134,2,3
6_2999,LA MASO-MARBELLA,440162.0,4483153.0,"134, N23",2,3
6_3003,COSTA BRAVA-LA MASO,440401.0,4483369.0,"134, 178, N23",2,3
6_2946,Cº HORMIGUERAS-TORRE DE DON MIGUEL,445335.0,4469705.0,"130, T31",2,3
6_2875,STO.A.DE LA GUARDA-GRAL.HIERRO MTNEZ.,439701.0,4479253.0,"126, 127, 132, N21",2,3
6_2877,AV.PABLO IGLESIAS-ALEJANDRO RGUEZ.,439748.0,4478901.0,"127, 132, N21",2,3
6_2879,Cº DEL CHORRILLO,439782.0,4480155.0,128,2,3
6_2880,CNO. DEL CHORRILLO,439790.0,4480115.0,128,2,3
6_2885,AV.BURGOS Nº 30,442852.0,4481389.0,"129, 150",2,3
6_2886,AV.SAN LUIS-AV.BURGOS,442905.0,4481521.0,"129, 150",2,3
6_2888,AV.SAN LUIS-SERRANO GALVACHE,443241.0,4481168.0,"129, 150",2,3
6_2894,ARTURO SORIA Nº 329,443556.0,4481499.0,"125, 129, 150, N1",2,3
6_2897,AV.SAN LUIS-SERRANO GALVACHE,443256.0,4481195.0,"129, 150",2,3
6_1774,CONDE DE PEÑALVER-DIEGO DE LEON,442850.0,4476370.0,56,2,3
6_1776,DR.ESQUERDO-AV.NAZARET,443261.0,4473796.0,"56, 143, 156",2,3
6_1777,DR.ESQUERDO-PZA.CONDE CASAL,443230.0,4473377.0,"56, 143, 156",2,3
6_1779,DR.ESQUERDO-CAVANILLES,443072.0,4473019.0,"56, 156",2,3
6_1782,SIERRA DEL CADI-AV.ALBUFERA,444073.0,4471831.0,"57, N10",2,3
6_1784,CARLOS MARTIN ALVAREZ-JAVIER MIGUEL,443750.0,4471397.0,57,2,3
6_1787,AV.PQUE.PALOMERAS BAJAS-ROMEO Y JULIETA,443974.0,4470368.0,"57, 144",2,3
6_1790,AV.PABLO NERUDA-VILLALOBOS,444817.0,4470522.0,"10, 57, 144",2,3
6_1791,AV.PABLO NERUDA-LAGO CALAFATE,445077.0,4470699.0,57,2,3
6_1793,RAFAEL ALBERTI-SAN CLAUDIO,445826.0,4471307.0,"54, 144",2,3
6_1794,AVDA. PABLO NERUDA,445045.0,4470718.0,57,2,3
6_1796,AV.BUENOS AIRES-MOGAMBO,444671.0,4470326.0,57,2,3
6_1797,AV.PABLO NERUDA-TRISTANA,444629.0,4470490.0,"136, 144, N11",2,3
6_1799,AV.MEDITERRANEO-CASTRILLO DE AZA,448497.0,4471048.0,"58, 63",2,3
6_1800,MARTINEZ DE LA RIVA-DILIGENCIA,443802.0,4470685.0,"57, 144",2,3
6_1802,CARLOS MARTIN ALVAREZ-JAVIER DE MIGUEL,443749.0,4471343.0,57,2,3
6_2460,AVENA-HENO,439336.0,4470149.0,78,2,3
6_2465,FTE.CARRANTONA-LUIS HOYOS SAINZ,446256.0,4472935.0,"100, 140, E4",2,3
6_2466,FTE.CARRANTONA-HACIENDA PAVONES,446132.0,4472700.0,"100, 140",2,3
6_2468,Pº ALAMEDA OSUNA-PQUE.CAPRICHO,449383.0,4478608.0,"101, 105, 151",2,3
6_2471,CARABELA-BALANDRO,450131.0,4478679.0,"101, 151",2,3
6_2472,CARABELA-GALEON,450389.0,4478687.0,"101, 114, 166",2,3
6_2476,CTRA.CIRCUNVALACION-ZODIACO,451338.0,4480976.0,101,2,3
6_2479,PZA.MAYOR DE BARAJAS,451168.0,4480740.0,"101, 105, 115, N4",2,3
6_2480,ACUARIO-PENELOPE,450941.0,4480878.0,101,2,3
6_2484,BERGANTIN-GALEON,450772.0,4479073.0,"114, N4",2,3
6_2485,AV.CANTABRIA-PZA.GOLETA,450673.0,4479113.0,"114, N4",2,3
6_2488,AV.CANTABRIA-PZA.DEL NAVIO,450254.0,4478649.0,"112, 114, 115, 151, N4",2,3
6_2490,AV.HISPANIDAD-PINOS DE OSUNA,449971.0,4478140.0,"101, 115, 151, N4",2,3
6_2491,AVDA.AMERICA-CIUDAD PEGASO,449505.0,4478126.0,"101, 114, 115, 151, N4",2,3
6_2495,CTRA.CANILLAS-UTRILLAS,445411.0,4479635.0,"73, N3",2,3
6_2496,CTRA.CANILLAS-UTRILLAS,445355.0,4479630.0,"73, N3",2,3
6_2500,AV.ENTREVIAS-T.PEREZ RUBIO,443059.0,4471412.0,"102, N11",2,3
6_2502,CARDEÑOSA-CONDE RGUEZ.SAN PEDRO,443138.0,4470852.0,"102, N11",2,3
6_2504,CAMPIÑA-PZA.DE LAS REGIONES,443154.0,4470319.0,"103, N11",2,3
6_2505,CAMPIÑA-SERENA,443358.0,4470075.0,"103, N11",2,3
6_2509,VILLACARRILLO-CAZORLA,443709.0,4469847.0,"102, 103, N11",2,3
6_2512,MENDEZ ALVARO-EST.SUR AUTOBUSES,442610.0,4471847.0,"152, N11",2,3
6_2513,SIERRA CONTRAVIESA-LAGARTERA,443044.0,4470539.0,"102, N11",2,3
6_2516,AVDA. ENTREVIAS,443073.0,4471405.0,"102, N11",2,3
6_5441,OCA-PINZON,437269.0,4471389.0,N26,2,3
6_3164,FUENCARRAL-ALBURQUERQUE,440440.0,4476100.0,"3, 37, 149",2,3
6_3165,FUENCARRAL-SANDOVAL,440506.0,4475891.0,"3, 37, 149, N23",2,3
6_3166,FUENCARRAL-GTA.BILBAO,440548.0,4475745.0,"40, 149",2,3
6_1618,JOSE DEL HIERRO-HERMANOS DE PABLO,445250.0,4476762.0,"48, 146",2,3
6_1619,JOSE DEL HIERRO-MANDARINA,445471.0,4477008.0,"48, 146",2,3
6_1624,AV.CANILLEJAS-ALBAIDA,448223.0,4476201.0,"48, 167",2,3
6_1627,AV.HELLIN-ALCONERA,447846.0,4476204.0,"38, 153, 165",2,3
6_1628,ALBAIDA-AV.CANILLEJAS,448151.0,4476302.0,"38, 153, 165",2,3
6_1630,FRENTE N.5,448239.0,4476695.0,N5,2,3
6_3415,RAMON GOMEZ SERNA-ALEJANDRO CASONA,438255.0,4481839.0,82,2,3
6_3423,RIBADAVIA-SINESIO DELGADO,440368.0,4480675.0,42,2,3
6_3337,NANCLARES DE OCA-ARAMAYONA,451047.0,4477488.0,"77, 167",2,3
6_3251,SILVANO-COL.VIRGEN DE LA ESPERANZA,445650.0,4479173.0,"120, 122",2,3
6_3256,AV.MACHUPICHU-PZA.MANUEL RODRIGO,446445.0,4479290.0,"112, 122, 153",2,3
6_3261,PEÑA CERVERA-FUENTIDUEÑA,447442.0,4469251.0,142,2,3
6_3265,ASCAO-HERMANOS GARCÍA NOBLEJAS,446243.0,4476192.0,"28, N6",2,3
6_3186,GRAN VIA HORTALEZA-GTA.LUIS ROSALES,444552.0,4479991.0,87,2,3
6_3201,JAZMIN-GOLFO DE SALONICA,443966.0,4481716.0,"129, N1",2,3
6_3111,ALCALA-AVENIDA FELIPE II,442751.0,4475300.0,"E2, E3, N5, N7",2,3
6_3114,A.LOPEZ CASERO-PZA.JOSE BANUS,444489.0,4476360.0,146,2,3
6_3124,GTA.DE RUIZ JIMENEZ,440278.0,4475862.0,147,2,3
6_2709,PZA.REGIONES-LAGARTERA,443080.0,4470460.0,"111, N11",2,3
6_2711,RUIDERA-BOHONAL,442727.0,4470338.0,"102, 111",2,3
6_2712,RONDA SUR-STA.RAFAELA,442921.0,4470174.0,"102, 111",2,3
6_2717,RONDA SUR-SERENA,443249.0,4469914.0,"102, 111",2,3
6_2719,BOHONAL-RUIDERA,442735.0,4470315.0,"102, 111",2,3
6_2720,RUIDERA,442925.0,4470490.0,111,2,3
6_2721,CARLOS MARTIN ALVAREZ-AV.SAN DIEGO,443538.0,4470988.0,"103, 111",2,3
6_3708,VILLABLANCA-SEPIOLITA,449188.0,4473146.0,"100, 106, 159, N6, N7",2,3
6_3712,Pº ARTILLEROS-AV.DAROCA,448423.0,4473059.0,100,2,3
6_3714,AV.DAROCA-CALAHORRA,448083.0,4473266.0,"4, 100, 106, N7",2,3
6_3715,AVDA. CANILLEJAS A VICALVARO,448318.0,4474278.0,"4, 106, 159",2,3
6_3578,GTA.DE EMBAJADORES,440547.0,4473150.0,C2,2,3
6_3581,HACIENDA PAVONES-CENTRO DE SALUD,446715.0,4472446.0,"8, 71, E4",2,3
6_3582,INDALECIO PRIETO-JOSE PRAT,447257.0,4472269.0,"8, 71",2,3
6_3584,JOSE PRAT-LADERA ALMENDROS,447029.0,4472317.0,"8, 71, E4",2,3
6_3587,JOSE PRAT-INDALECIO PRIETO,447347.0,4472298.0,"130, E4",2,3
6_3589,CHANTADA-CESAR MANRIQUE,439042.0,4480791.0,42,2,3
6_3590,CHANTADA-CANDIDO MATEOS,439223.0,4480732.0,42,2,3
6_3591,CHANTADA-CANDIDO MATEOS,439218.0,4480748.0,42,2,3
6_3593,AV.LOS ANDES-AV.ARROYO DEL SANTO,447390.0,4478606.0,"104, 112, 122, 153",2,3
6_3594,AV.DE LOS ANDES-AÑIL,447697.0,4478856.0,"104, 112, 122",2,3
6_3596,ARTURO SORIA-CALERUEGA,443402.0,4481187.0,"125, N1",2,3
6_3598,GTA.DE RUIZ JIMENEZ,440205.0,4475873.0,"3, 147",2,3
6_3599,LA CORTE DEL FARAON-E.BARREIROS,440660.0,4468364.0,116,2,3
6_3603,HACIENDA DE PAVONES-FTE.CARRANTONA,446167.0,4472640.0,"71, E4",2,3
6_3604,HACIENDA DE PAVONES-FTE.CARRANTONA,446173.0,4472646.0,"71, E4, N8",2,3
6_3606,ESTACION DE MENDEZ ALVARO,442623.0,4472054.0,113,2,3
6_3607,AV.SAN LUIS-SOLSONA,444852.0,4480595.0,"107, 125, 172, 172SF",2,3
6_3608,RAMIREZ DE PRADO-JUAN MARIANA,441872.0,4472499.0,8,2,3
6_3611,RIBERA DEL LOIRA Nº 52,447573.0,4479385.0,104,2,3
6_3612,AV.25 SEPTIEMBRE-PZA.ENSIDESA,447115.0,4477404.0,104,2,3
6_3613,GTA.RICARDO VELAZQUEZ BOSCO,446990.0,4477809.0,104,2,3
6_3614,AV.25 SEPTIEMBRE-PZA.J.A.SUANCES,447075.0,4477553.0,104,2,3
6_3618,SUECIA-BUCAREST,448832.0,4475476.0,"38, 140, N6",2,3
6_3619,R.BELTRAN ROZPIDE-RAFAELA YBARRA,439566.0,4469890.0,78,2,3
6_5483,VALCARLOS - Pº SAN MILLAN DE LA COGOLLA,443577.0,4484010.0,175,2,3
6_5485,Pº.SAN MILLAN DE LA COGOLLA-SIERRA ATAPUERCA,443393.0,4484049.0,175,2,3
6_1887,FUENTESPINA,448773.0,4470332.0,"58, 63",2,3
6_1892,"ARROYO FONTARRON, 301",445616.0,4472138.0,"63, N9",2,3
6_1894,ARROYO FONTARRON-E.PALACIOS,445220.0,4472519.0,"63, 143, N9",2,3
6_1895,AVDA.MEDITERRANEO-MORATALAZ,445025.0,4472678.0,"63, 143, 145, E, N9",2,3
6_1902,FCOS.RODRIGUEZ-INST.VIRGEN DE LA PALOMA,439502.0,4479093.0,64,2,3
6_1904,ANTONIO MACHADO-A.MARTIN ALZAGA,439141.0,4479494.0,64,2,3
6_1773,Pº. STA.Mª CABEZA-Pº.CHOPERA,440497.0,4472298.0,"55, 60, E1, N17",2,3
6_3060,MALGRAT MAR-PONT MOLINS,445425.0,4471924.0,54,2,3
6_1703,VICTOR SERNA-COLOMBIA,443154.0,4478852.0,52,2,3
6_1704,PARAGUAY-COSTA RICA,443157.0,4479098.0,52,2,3
6_1705,STA.Mª MAGDALENA-CTE.AZCARRAGA,443309.0,4479358.0,52,2,3
6_1708,PUERTO RICO,442930.0,4479098.0,52,2,3
