IDESTACION,DENOMINACION,X,Y,LINEAS,ACONDICIONAMIENTOVIAJEROS,ACONDICIONAMIENTOVEHICULOS
6_661,AV.MQUES.CORBERA Nº 27,444637.0,4475278.0,"15, 28, 110, 210, N6",2,3
6_5013,Pº STA.Mª DE LA CABEZA-PALOS FRONTERA,440956.0,4472983.0,"6, 59, 85, N14",2,3
6_5014,CALLE DE EMBAJADORES,440953.0,4472296.0,"59, 85",2,3
6_5016,PEDROÑERAS-SILVANO,446733.0,4479544.0,120,2,3
6_5018,CALLE DE CARAMUEL,438150.0,4473284.0,119,2,3
6_3393,MAQUEDA-VALMOJADO,435613.0,4471084.0,"31, N26",2,3
6_5026,GINZO DE LIMIA-GTA.REALES ACADEMIAS,440381.0,4481599.0,"49, 134",2,3
6_5029,RIBERA DEL LOIRA-TOMAS REDONDO,447001.0,4480163.0,104,2,3
6_5030,EMIGRANTES-AREQUIPA,446023.0,4480181.0,"112, 153",2,3
6_5032,NARVÁEZ-AVENIDA FELIPE II,442774.0,4475280.0,215,2,3
6_1781,PZA.MANUEL BECERRA-DOCTOR ESQUERDO,443426.0,4475636.0,"12, 56, 143, 156, C2",2,3
6_266,AV.RAFAELA YBARRA-R.BELTRAN ROZPIDE,439649.0,4469952.0,"6, 60, 81, N15",2,3
6_851,ALCALA-PZA.MANUEL BECERRA,443465.0,4475761.0,"21, 38, 53, 106, 110, 146, 210, N5, N7",2,3
6_270,PZA.DEL HIDROGENO,440023.0,4470717.0,6,2,3
6_271,DOLORES BARRANCO-OLVIDO,440468.0,4470742.0,6,2,3
6_273,SANTUARIO-SAN ANTONIO PADUA,440692.0,4470940.0,"6, 78",2,3
6_579,MARIA DE MOLINA-PRINCIPE DE VERGARA,442568.0,4476750.0,12,2,3
6_275,PZA.DE LEGAZPI-MAESTRO ARBOS,441113.0,4471559.0,"22, 79, 123",2,3
6_277,JAIME EL CONQUISTADOR-EUGENIO SELLES,440863.0,4472157.0,"6, 78, 148, N14",2,3
6_202,JULIAN BESTEIRO-SAN GERMAN,441163.0,4478808.0,5,2,3
6_280,FERROCARRIL Nº 13,441098.0,4472669.0,"6, 55, N14",2,3
6_1495,AVDA. GRAL. PERON,440884.0,4478447.0,43,2,3
6_284,ATOCHA-COSTANILLA DESAMPARADOS,440957.0,4473866.0,"6, 26, 32",2,3
6_290,GRAL.MTNEZ.CAMPOS-FORTUNY,441535.0,4476485.0,"7, 16, 40, 61, 147",2,3
6_292,PZA.DOCTOR MARAÑON,441541.0,4476841.0,"7, 14, 27, 40, 147, 150, N22, N24",2,3
6_297,AV.DOCTOR ARCE-VELAZQUEZ,442185.0,4477672.0,7,2,3
6_298,VELAZQUEZ Nº 150,442227.0,4477366.0,"16, 19, 51, N1",2,3
6_300,AV.DR.ARCE-PZA.SANTA GEMA,442402.0,4477850.0,"7, 16, 19, 51, N1",2,3
6_304,SERRANO-PRINCIPE VERGARA,442643.0,4478645.0,"7, 51",2,3
6_305,PRINCIPE DE VERGARA-COLOMBIA,442730.0,4479011.0,"7, 16, 29, 51, N1",2,3
6_309,ARTURO SORIA 212,443954.0,4479341.0,"7, 11, 70",2,3
6_310,ARTURO SORIA-MANUEL URIBE,443720.0,4479675.0,"7, 70",2,3
6_312,ARTURO SORIA-JULIO DANVILA,443566.0,4480490.0,"7, 29, 107, N1",2,3
6_316,CUEVAS DE ALMANZORA-AV.SAN LUIS,443888.0,4480747.0,"7, N1",2,3
6_317,CUEVAS DE ALMANZORA-BACARES,444095.0,4480944.0,"7, 29, 129, N1",2,3
6_3912,CAMINO DE PERALES Nº 48,441454.0,4470271.0,"23, 123, N12",2,3
6_3934,GRAN VIA-CLAVEL,440779.0,4474790.0,"1, 1, 2, 74, 146, N16, N18, N19, N20, N21",2,3
6_3955,CONCEJAL FCO.J.JIMENEZ-BARBERAN Y COLLAR,436081.0,4472637.0,55,2,3
6_3964,COMERCIO Nº 2,442305.0,4473032.0,"102, 152, N11, N13",2,3
6_3968,AV.MENENDEZ PELAYO-O DONNELL,442423.0,4475034.0,152,2,3
6_3983,AV.AMERICA-CARTAGENA,443022.0,4476942.0,N4,2,3
6_5299,AV.DE LA PESETA-CORONA,436267.0,4468407.0,"35, 118, 155",2,3
6_5301,MARAVEDI-AV.DE LA PESETA,436608.0,4468532.0,155,2,3
6_5315,VALDETORRES DE JARAMA-TORREGROSA,445157.0,4480588.0,"120, 125, 172, 172SF",2,3
6_5380,COSTA BRAVA-MONASTERIO HUELGAS,440070.0,4483608.0,"134, 170, 178, N23",1,0
6_5381,COSTA BRAVA-MONASTERIO HUELGAS,440056.0,4483604.0,"134, 170, 178, N23",2,3
6_5382,MONASTERIO HUELGAS-MONASTERIO PAULAR,440211.0,4483886.0,"134, 170, 178",2,3
6_5384,MONASTERIO HUELGAS-MONASTERIO PAULAR,440187.0,4483881.0,"134, 170, 178",2,3
