,IDESTACION,latitude,longitude,DENOMINACION,LINEAS,ACONDICIONAMIENTOVIAJEROS
2957,6_2104,40.385896603044856,-3.6481219507233416,LAGO CALAFATE,310,2
2958,6_2127,40.37017251422896,-3.6952044761405283,EDUARDO BARREIROS-AV.LOS ROSALES,"76, 78",2
2959,6_2143,40.364285153288236,-3.698924665315241,EDUARDO BARREIROS-CORTE DEL FARAÓN,76,2
2960,6_215,40.46359942108931,-3.688665069277278,Pº CASTELLANA-ROSARIO PINO,"5, 27, 147, N22, N24",2
2961,6_5421,40.50326466448431,-3.6812575891684514,ESTACION CERCANIAS DE FUENCARRAL,T61,2
2962,6_545,40.447297517326206,-3.6505863829840783,CONDESA DE VENADITO-MADRE ANTONIA PARIS,11,2
2963,6_5461,40.43436633514866,-3.673181156027462,JUAN BRAVO-CONDE PEÑALVER,"26, N3",2
2964,6_5466,40.391453934094216,-3.6515568229987485,AVDA.BUENOS AIRES-SIERRA SALVADA,136,2
2965,6_5468,40.43632957313101,-3.6748513906816243,DIEGO DE LEÓN - GRAL. DIAZ PORLIER,61,2
2966,6_5476,40.51229847744135,-3.666169470135642,AV.Cº SANTIAGO-GTA.MONTE DEL GOZO,"170, 172, 172SF, T61",2
2967,6_5487,40.50735032250911,-3.6712311275355183,Pº.SAN MILLAN DE LA COGOLLA-AV.CNO.SANTIAGO,"175, N24",2
2968,6_549,40.44995394113537,-3.6555885513859834,TORRELAGUNA-EMILIO VARGAS,"53, 122",2
2969,6_5490,40.50245885194575,-3.672716620716138,AV. CAMINO SANTIAGO-SIERRA ATAPUERCA,N24,2
2970,6_5555,40.38394539165948,-3.777578980785265,AV.LAS AGUILAS Nº 60,17,2
2971,6_557,40.44628106235198,-3.666130404183455,CORAZON DE MARIA-STA.HORTENSIA,43,2
2972,6_563,40.4429121564264,-3.655013096607035,AV.BADAJOZ-TANATORIO,"53, 122, N3",2
2973,6_565,40.44318404444298,-3.6626331033896604,AV.GUINDALERA-AV.BAVIERA,"43, 74, 122",2
2974,6_572,40.427241691359875,-3.6604253626394683,SANCHO DAVILA-MQUES.DE ZAFRA,12,2
2975,6_3709,40.40762271543324,-3.59870201909133,VILLABLANCA-SEPIOLITA,"100, 106, 159, N6, N7",1
2976,6_3699,40.40666138221298,-3.599930950488419,FORGES-MINERVA,106,2
2977,6_159,40.41013073160548,-3.608388632617025,Pº ARTILLEROS-CALAHORRA,"4, 100, 106",2
2978,6_161,40.40639612149439,-3.6093096043700132,AV.DAROCA-Pº ARTILLEROS,"4, 100, 106, 130",2
2979,6_162,40.405965917822485,-3.6071726198306364,SAN CIPRIANO-Pº ARTILLEROS,"4, 106, E3, E5, N7",2
2980,6_163,40.40580640802108,-3.603223183243995,SAN CIPRIANO-JARDIN DE LA DUQUESA,"4, 106, E3, E5, N7",2
2981,6_165,40.40597794159381,-3.603154003929291,SAN CIPRIANO-JARDIN DE LA DUQUESA,"4, 106, E3, E5, N7",2
2982,6_168,40.40966458599009,-3.6096572965099805,CALAHORRA Nº 12,"4, 106, 130, N7",2
2983,6_169,40.40909415884791,-3.6119032093287124,CALAHORRA-AV.DAROCA,130,2
2984,6_171,40.41126178832385,-3.609164910722884,CASALARREINA-Pº ARTILLEROS,4,2
2985,6_172,40.42074621192769,-3.6095687216855676,AVDA. CANILLEJAS A VICALVARO,"4, 106, 159",2
2986,6_174,40.42646725477665,-3.6146187720244547,ARCOS DE JALON-ALBERICIA,4,2
2987,6_175,40.42455167686162,-3.6173715983216876,ARCOS DE JALON-AMPOSTA,4,2
2988,6_177,40.42415608493153,-3.6239340540003093,ARCOS DE JALON-P.DEL VALLE,4,2
2989,6_179,40.42828619586796,-3.628192682540754,HERMANOS GARCÍA NOBLEJAS-CASTILLO UCLES,"4, 38, 48, 70, N6",2
2990,6_180,40.42984747126509,-3.629350769374043,HERMANOS GARCÍA NOBLEJAS-CANGAS DE ONIS,"4, 38, 48, 70",2
2991,6_182,40.434576394833286,-3.632802196496692,HERMANOS GARCÍA NOBLEJAS-JULIAN CAMARILLO,"4, 38, 48, 70",2
2992,6_187,40.421855641995215,-3.6910211183179227,Pº RECOLETOS-PZA.DE CIBELES,"5, 14, 27, 37, 45, 53, 150, C03, N1, N22, N24, N25, N26, N4",2
2993,6_189,40.42786098435859,-3.6886186988306915,Pº CASTELLANA-PZA. COLON,"5, 14, 27, 45, 150, N1, N22, N24",2
2994,6_192,40.437128738439185,-3.689043381262587,GRAL.MTNEZ.CAMPOS-FORTUNY,"5, 16, 61",2
2995,6_195,40.44065193015974,-3.6964488123449875,ALONSO CANO-JOSE ABASCAL,5,2
2996,6_197,40.44614119711727,-3.695986617852089,ALONSO CANO-MARIA GUZMAN,5,2
2997,6_198,40.44809723508688,-3.695806324484494,ALONSO CANO-R.FDEZ.VILLAVERDE,5,2
2998,6_201,40.45623375924099,-3.6940740019415905,JULIAN BESTEIRO-FORTUNATA Y JACINTA,5,2
2999,6_206,40.46375516356308,-3.6882302383708927,PASEO CASTELLANA-ROSARIO PINO,"5, 27, 147, N22, N24",2
3000,6_208,40.46913922838242,-3.68727073295223,PASEO CASTELLANA-AGUSTIN DE FOXA,"66, 124, 147, N24, SE704",2
3001,6_209,40.472829909499026,-3.686258448573333,Pº CASTELLANA-JOSE VASCONCELOS,"66, 67, 124, 134, 135, 147, 173, 174, 175, 176, 178, N24, SE704",2
3002,6_2793,40.39445241718777,-3.727362663333684,EL TOBOSO-GASTERIA,119,2
3003,6_2802,40.3802233425923,-3.7546583359811168,AV.POBLADOS-PARQUE EUGENIA MONTIJO,"121, 131, 139",2
3004,6_2708,40.387433133878694,-3.664701977380626,PTO.BONAIGUA-AV.SAN DIEGO,"103, 111, 144",2
3005,6_2718,40.37987796318774,-3.6718963100542017,RONDA SUR-STA.RAFAELA,"102, 111",2
3006,6_2722,40.45238998529196,-3.5896881640451923,AV.HISPANIDAD-PINOS DE OSUNA,115,2
3007,6_2726,40.43235464824793,-3.6468229086486526,JOSE Mª PEREDA-CARLOS HDEZ,113,2
3008,6_2641,40.42740430410101,-3.639513555680673,EZEQUIEL SOLANA-ARRIAGA,109,2
3009,6_2649,40.43789268477384,-3.622669724757853,JULIAN CAMARILLO-MIGUEL YUSTE,105,2
3010,6_2654,40.43398984459176,-3.60435921991013,SUECIA-MARIA SEVILLA DIAGO,"140, E2",2
3011,6_2576,40.472677886212026,-3.579071554036033,AV.GENERAL-JEREZ DE LOS CABALLEROS,"105, 115, 166, N4",2
3012,6_2589,40.42711934482678,-3.642163334587717,AVDA. DAROCA,"106, N7",2
3013,6_5683,40.36814650747166,-3.5966211176566336,AV.DE LAS SUERTES-CAÑADA DEL SANTISIMO,145,1
3014,6_5690,40.36208992955627,-3.5918331755064186,AV.ENSANCHE VALLECAS-GRAN VIA SURESTE,"142, N9",1
3015,6_5692,40.361640110086135,-3.5899448587048424,AV.GRAN VIA SURESTE-AV.ENSANCHE VALLECAS,"142, 145, N9",1
3016,6_5127,40.39180852489583,-3.6913383615723236,PASEO DEL MOLINO-EMBAJADORES,"62, 148, 156",2
3017,6_5130,40.47194497123167,-3.781636670249636,AVDA.VALDEMARIN-ALTAIR,161,2
3018,6_5134,40.47023208590325,-3.7844715066852745,AV.VALDEMARIN-LA SALLE,161,2
3019,6_5136,40.47189436105212,-3.7771180001028695,AV.VALDEMARIN-CISNE,161,2
3020,6_5364,40.3671900491268,-3.6967756823891977,EDUARDO BARREIROS-ALERCE,"76, 116",2
3021,6_347,40.43211192822938,-3.691857054192162,ALMAGRO-ZURBANO,7,2
3022,6_55,40.443452306264206,-3.7114766549730325,GUZMAN EL BUENO-MELQUIADES ÁLVAREZ,"2, 12",2
3023,6_1670,40.47868504908015,-3.6473381439018406,MAR DE LAS ANTILLAS-ABARZUZA,"107, N2",2
3024,6_5184,40.38031872569273,-3.7634594935770327,BLAS CABRERA-CASUARINA,155,2
3025,6_5185,40.38020216075738,-3.763375713775356,BLAS CABRERA-CASUARINA,155,2
3026,6_5186,40.374671600300054,-3.7645854912286123,CTRA.BARRIO DE LA FORTUNA-AV.AVIACION,155,2
3027,6_5188,40.37130050537618,-3.764841864835109,AVDA.DE LA PESETA-CTRA.BARRIO FORTUNA,155,2
3028,6_5189,40.37148332158573,-3.7644434444233137,AV.DE LA PESETA-CTRA.BARRIO LA FORTUNA,155,2
3029,6_5855,40.425623278388024,-3.701186004336604,CORREDERA BAJA DE SAN PABLO-ESCORIAL,2,1
3030,6_5856,40.42466815741988,-3.7026967816409284,PEZ-CORREDERA BAJA SAN PABLO,2,1
3031,6_5858,40.42622510456083,-3.705919487075252,NOVICIADO,2,1
3032,6_5859,40.42611137938927,-3.700919935604198,PLAZA DE SAN ILDEFONSO,2,1
3033,6_5860,40.42728039549528,-3.702759334823777,PLAZA DEL RASTRILLO-SAN ANDRÉS,2,1
3034,6_5861,40.42382008411998,-3.701414831458816,BARCO-PUEBLA,2,1
3035,6_5862,40.42742106862892,-3.7062856559242814,NOVICIADO-SAN BERNARDO,2,1
3036,6_5863,40.426251482651836,-3.707499437116232,REYES,2,1
3037,6_5864,40.42827520785725,-3.7080393583627442,AMANIEL-SAN VICENTE FERRER,2,3
3038,6_5865,40.42761629165244,-3.708244647579102,TRAVESIA CONDE DUQUE-AMANIEL,2,1
3039,6_5866,40.42886051404147,-3.7095544974937535,CONDE DUQUE-CENTRO CULTURAL,2,1
3040,6_5867,40.43010269427511,-3.7082589424306978,AMANIEL-CONDE DUQUE,2,1
3041,6_5868,40.4304975487576,-3.7085106614153376,CONDE DUQUE-AMANIEL,2,1
3042,6_5869,40.43138022018474,-3.711479091874947,SANTA CRUZ DE MARCENADO-MARTIRES ALCALA,2,1
3043,6_5870,40.43120528079064,-3.713552196012163,SERRANO JOVER-PRINCESA,"2, C03",1
3044,6_5871,40.432328277153715,-3.714059232678024,ALBERTO AGUILERA-PRINCESA,C03,1
3045,6_5872,40.42178767325397,-3.700816116889653,GRAN VIA-MONTERA,2,1
3046,6_3472,40.49623928331319,-3.707974478438172,NURIA-LA MASO,"133, N23",2
3047,6_3489,40.47253379519236,-3.7677116234881054,DARIO APARICIO Nº35,161,2
3048,6_3496,40.40768871803082,-3.6169935628954546,Cº VIEJO DE VICALVARO-PZA.ALOSNO,100,2
3049,6_3836,40.45537207783364,-3.589667059325601,BATEL-BALANDRO,114,2
3050,6_3842,40.46576034337438,-3.6120279158133974,PARTENON-GTA.HAMBURGO,112,2
3051,6_5768,40.38651749195643,-3.7169329843607115,PLAZA ELIPTICA - INTERCAMBIADOR,"155, SE702",1
3052,6_2151,40.44427765673903,-3.619768900175906,ALCALA-CRONOS,77,2
3053,6_2156,40.45172091899408,-3.598916317612652,ALCALA Nº 712,"77, N5",2
3054,6_2165,40.45039224912101,-3.6083741969884304,ALCALA-CANILLEJAS,"77, 165, N5",2
3055,6_2180,40.37124418306255,-3.70863179690714,GRAN AVENIDA-Cº VIEJO VILLAVERDE,"78, 81, 116, N15",2
3056,6_2188,40.369422255582265,-3.6971166962267223,MOREJA-SALVADOR MARTINEZ,"78, 116",2
